datetime,symbol,open,high,low,close,volume,HighArrow,LowArrow,UTC,GMT
2024-06-27 13:00:00,FX:EURUSD,1.07052,1.07053,1.0702,1.07042,1576.0,,,2024-06-27 18:00:00,2024-06-27 20:00:00
2024-06-27 12:45:00,FX:EURUSD,1.07062,1.07071,1.07047,1.07052,1631.0,,,2024-06-27 17:45:00,2024-06-27 19:45:00
2024-06-27 12:30:00,FX:EURUSD,1.07058,1.07076,1.07045,1.07062,1482.0,,,2024-06-27 17:30:00,2024-06-27 19:30:00
2024-06-27 12:15:00,FX:EURUSD,1.07061,1.07065,1.07042,1.07058,1876.0,,,2024-06-27 17:15:00,2024-06-27 19:15:00
2024-06-27 12:00:00,FX:EURUSD,1.07066,1.07084,1.07059,1.07061,2492.0,,,2024-06-27 17:00:00,2024-06-27 19:00:00
2024-06-27 11:45:00,FX:EURUSD,1.07051,1.07075,1.07037,1.07066,1726.0,,,2024-06-27 16:45:00,2024-06-27 18:45:00
2024-06-27 11:30:00,FX:EURUSD,1.0705,1.07063,1.07036,1.07051,1411.0,,,2024-06-27 16:30:00,2024-06-27 18:30:00
2024-06-27 11:15:00,FX:EURUSD,1.07059,1.07089,1.07047,1.0705,1875.0,,,2024-06-27 16:15:00,2024-06-27 18:15:00
2024-06-27 11:00:00,FX:EURUSD,1.07069,1.07102,1.07031,1.07059,2890.0,,,2024-06-27 16:00:00,2024-06-27 18:00:00
2024-06-27 10:45:00,FX:EURUSD,1.07066,1.07096,1.07059,1.07069,2556.0,,,2024-06-27 15:45:00,2024-06-27 17:45:00
2024-06-27 10:30:00,FX:EURUSD,1.07017,1.07113,1.07015,1.07066,3123.0,,,2024-06-27 15:30:00,2024-06-27 17:30:00
2024-06-27 10:15:00,FX:EURUSD,1.07089,1.07103,1.07002,1.07017,2562.0,,,2024-06-27 15:15:00,2024-06-27 17:15:00
2024-06-27 10:00:00,FX:EURUSD,1.07125,1.07131,1.07065,1.07089,3186.0,,,2024-06-27 15:00:00,2024-06-27 17:00:00
2024-06-27 09:45:00,FX:EURUSD,1.07132,1.0714,1.07095,1.07125,3445.0,,,2024-06-27 14:45:00,2024-06-27 16:45:00
