,datetime,symbol,open,high,low,close,volume,hhb1,llb1,hhb,llb,atr,b1,b2,b3,b4,SuperSignalV3
3177,2024-07-08 16:45:00,FX:EURUSD,1.08228,1.08245,1.08228,1.08243,34.0,1.08257,1.08228,1.08257,1.08227,0.00016757587326360124,,,,1.0821962120633681,-1
3178,2024-07-08 16:50:00,FX:EURUSD,1.08243,1.08249,1.08243,1.08245,33.0,1.08257,1.08228,1.08257,1.08228,0.00016542435579832817,,,,,0
3179,2024-07-08 16:55:00,FX:EURUSD,1.08245,1.08252,1.08239,1.08252,44.0,1.08257,1.08228,1.08257,1.08228,0.00016471586868236086,,,,,0
3180,2024-07-08 17:00:00,FX:EURUSD,1.08252,1.08255,1.08243,1.08248,96.0,1.08257,1.08228,1.08257,1.08228,0.0001638215513087116,,,,,0
3181,2024-07-08 17:05:00,FX:EURUSD,1.08248,1.08254,1.08247,1.08253,39.0,1.08257,1.08228,1.08258,1.08228,0.00016194512028253766,,,,,0
3182,2024-07-08 17:10:00,FX:EURUSD,1.08253,1.08256,1.0825,1.08255,35.0,1.08257,1.08228,1.08268,1.08228,0.00015990621787688588,,,,,0
3183,2024-07-08 17:15:00,FX:EURUSD,1.08255,1.08257,1.08251,1.08255,52.0,1.08257,1.08228,1.08283,1.08228,0.00015790809351934714,,,1.0826489540467596,,-2
3184,2024-07-08 17:20:00,FX:EURUSD,1.08255,1.08256,1.0825,1.08251,75.0,1.08257,1.08228,1.08283,1.08228,0.00015594993164895919,,,,,0
3185,2024-07-08 17:25:00,FX:EURUSD,1.08251,1.08252,1.08249,1.08249,61.0,1.08258,1.08239,1.08297,1.08228,0.00015343093301597947,,,,,0
3186,2024-07-08 17:30:00,FX:EURUSD,1.08249,1.08252,1.08249,1.08251,83.0,1.08268,1.08239,1.08299,1.08228,0.00015096231435565938,,,,,0
3187,2024-07-08 17:35:00,FX:EURUSD,1.08251,1.08251,1.08248,1.0825,73.0,1.08283,1.08242,1.08299,1.08228,0.00014854306806854568,,,,,0
3188,2024-07-08 17:40:00,FX:EURUSD,1.0825,1.0825,1.08242,1.08245,75.0,1.08283,1.08242,1.08303,1.08239,0.00014717220670717635,,,,1.0823464138966463,-1
3189,2024-07-08 17:45:00,FX:EURUSD,1.08245,1.08249,1.08244,1.08248,48.0,1.08297,1.08242,1.08303,1.08239,0.0001452287625730305,,,,,0
3190,2024-07-08 17:50:00,FX:EURUSD,1.08248,1.08254,1.08243,1.08252,84.0,1.08299,1.08242,1.08307,1.08242,0.00014452418732157098,,,,,0
3191,2024-07-08 17:55:00,FX:EURUSD,1.08252,1.08258,1.08249,1.08257,139.0,1.08299,1.08242,1.08314,1.08242,0.00014343370357514248,,,,,0
3192,2024-07-08 18:00:00,FX:EURUSD,1.08257,1.08268,1.08255,1.08266,275.0,1.08303,1.08242,1.08314,1.08242,0.00014316502950364335,,,,,0
3193,2024-07-08 18:05:00,FX:EURUSD,1.08266,1.08283,1.08264,1.08281,285.0,1.08303,1.08242,1.08314,1.08242,0.0001441017289135687,,,,,0
3194,2024-07-08 18:10:00,FX:EURUSD,1.08281,1.08282,1.08275,1.08281,239.0,1.08307,1.08242,1.08317,1.08242,0.0001426196943352932,,,,,0
3195,2024-07-08 18:15:00,FX:EURUSD,1.08281,1.08297,1.08276,1.08295,283.0,1.08314,1.08242,1.08324,1.08242,0.0001439673004485882,,,,,0
3196,2024-07-08 18:20:00,FX:EURUSD,1.08295,1.08299,1.0829,1.08292,263.0,1.08314,1.08243,1.08329,1.08242,0.0001428879544396149,,,,,0
3197,2024-07-08 18:25:00,FX:EURUSD,1.08292,1.08299,1.08292,1.08298,188.0,1.08314,1.08243,1.08334,1.08242,0.00014143019535081845,,,,,0
3198,2024-07-08 18:30:00,FX:EURUSD,1.08298,1.08303,1.08297,1.08301,314.0,1.08317,1.08249,1.08334,1.08242,0.00013980159144380105,,,,,0
3199,2024-07-08 18:35:00,FX:EURUSD,1.08301,1.08303,1.08299,1.08301,292.0,1.08324,1.08255,1.08334,1.08243,0.00013780555961492584,,,,,0
3200,2024-07-08 18:40:00,FX:EURUSD,1.08301,1.08307,1.083,1.08306,224.0,1.08329,1.08264,1.08334,1.08243,0.0001364494484226276,,,,,0
3201,2024-07-08 18:45:00,FX:EURUSD,1.08306,1.08314,1.08304,1.08306,169.0,1.08334,1.08275,1.08334,1.08249,0.00013572045945417483,,,,,0
3202,2024-07-08 18:50:00,FX:EURUSD,1.08306,1.0831,1.08302,1.0831,240.0,1.08334,1.08276,1.08334,1.08255,0.00013460605026508848,,,,,0
3203,2024-07-08 18:55:00,FX:EURUSD,1.0831,1.08311,1.08304,1.08305,196.0,1.08334,1.0829,1.08334,1.08264,0.00013331392925978701,,,,,0
3204,2024-07-08 19:00:00,FX:EURUSD,1.08305,1.08317,1.08304,1.08304,291.0,1.08334,1.08292,1.08334,1.08263,0.00013324765067459054,,,,,0
3205,2024-07-08 19:05:00,FX:EURUSD,1.08304,1.08324,1.08304,1.08319,318.0,1.08334,1.0829,1.08334,1.08261,0.00013458269766109828,,,,,0
3206,2024-07-08 19:10:00,FX:EURUSD,1.08319,1.08329,1.08316,1.08328,183.0,1.08334,1.08289,1.08334,1.08259,0.00013449104370788002,,,,,0
3207,2024-07-08 19:15:00,FX:EURUSD,1.08328,1.08334,1.08308,1.08308,214.0,1.08334,1.08287,1.08334,1.08259,0.00013700122283372094,1.0834770012228336,,1.083408500611417,,2
3208,2024-07-08 19:20:00,FX:EURUSD,1.08308,1.08318,1.08305,1.08314,544.0,1.08334,1.08263,1.08334,1.08259,0.0001368611983770458,,,,,0
3209,2024-07-08 19:25:00,FX:EURUSD,1.08314,1.08322,1.08314,1.08317,399.0,1.08334,1.08261,1.08334,1.08259,0.00013572397440950648,,,,,0
3210,2024-07-08 19:30:00,FX:EURUSD,1.08317,1.08319,1.08293,1.08297,555.0,1.08334,1.08259,1.08334,1.08259,0.00013820949492131935,,,,,0
3211,2024-07-08 19:35:00,FX:EURUSD,1.08297,1.08302,1.0829,1.08299,493.0,1.08334,1.08259,1.08334,1.08259,0.00013784530502289536,,,,,0
